"CNumber","Inhibitor","Brutto","MW","Action","Reference","Reference 2","PMID2","Patent","Commercial Vendor","CAS","InChI","InChI Key","PubChem CID","SMILES","Alt Name"
"96","RO-31-8220","C25H23N5O2S • CH4O3S","553.7","PKC","Trapp J. (2006) J. Med. Chem. 49 7307-16","Powell D.J. (2003) Mol. Cell Biol. 23 7794","14560023","","Merck (Calbiochem)","125314-64-9","InChI=1S/C25H23N5O2S.CH4O3S/c1-29-13-17(15-7-2-4-9-19(15)29)21-22(24(32)28-23(21)31)18-14-30(11-6-12-33-25(26)27)20-10-5-3-8-16(18)20;1-5(2,3)4/h2-5,7-10,13-14H,6,11-12H2,1H3,(H3,26,27)(H,28,31,32);1H3,(H,2,3,4)","SAWVGDJBSPLRRB-UHFFFAOYSA-N","11628205","CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N.CS(=O)(=O)O","RO31-8220, RO-318220, RO318220, RO 31 8220, RO 31-8220, RO-31 8220, CHEMBL1591531, BIMI0821, BMK1-D9"
"339","RO-3306","C₁₈H₁₃N₃OS₂","351.5","Cdk1","Vassilev, L.T. (2006) Proc. Natl. Acad. Sci. USA 103 10660","","","","Calbiochem","872573-93-8","InChI=1S/C18H13N3OS2/c22-17-16(24-18(21-17)20-11-14-4-2-8-23-14)10-12-5-6-15-13(9-12)3-1-7-19-15/h1-10H,11H2,(H,20,21,22)","XOLMRFUGOINFDQ-UHFFFAOYSA-N","71433937","C1=CC2=C(C=CC(=C2)C=C3C(=O)N=C(S3)NCC4=CC=CS4)N=C1","Cdk1 Inhibitor IV"
"97","Roscovitine","C19H26N6O","354.5","CDK","De Azevedo W.F. (1997) Eur. J. Biochem. 243 518","Meijer L. (1997) Eur. J. Biochem. 243 527","9030781","","Merck (Calbiochem)","186692-46-6","InChI=1S/C19H26N6O/c1-4-15(11-26)22-19-23-17(20-10-14-8-6-5-7-9-14)16-18(24-19)25(12-21-16)13(2)3/h5-9,12-13,15,26H,4,10-11H2,1-3H3,(H2,20,22,23,24)/t15-/m1/s1","BTIHMVBBUGXLCJ-OAHLLOKOSA-N","160355","CCC(CO)NC1=NC2=C(C(=N1)NCC3=CC=CC=C3)N=CN2C(C)C","Seliciclib, R-Roscovitine, Rosco"
"98","Rottlerin","C30H28O8","516.5","PKC","Villalba M. (1999) J. Immunol. 163 5813","Gschwendt M. (1994) Biochem. Biophys. Res. Commun. 199 93","8123051","","Merck (Calbiochem)","82-08-6","InChI=1S/C30H28O8/c1-15-24(33)19(27(36)22(16(2)31)25(15)34)14-20-26(35)18-12-13-30(3,4)38-29(18)23(28(20)37)21(32)11-10-17-8-6-5-7-9-17/h5-13,33-37H,14H2,1-4H3/b11-10+","DEZFNHCVIZBHBI-ZHACJKMWSA-N","5281847","CC1=C(C(=C(C(=C1O)C(=O)C)O)CC2=C(C3=C(C(=C2O)C(=O)C=CC4=CC=CC=C4)OC(C=C3)(C)C)O)O","Mallotoxin, Kamalin, AC1NQZ6C"
"189","Ruxolitinib (INCB18424)","C17H18N6","306.37","JAK","Lawrence J Wilson (2010)  Expert Opinion on Therapeutic Patents May 20(5) 609-623","","","WO2008157208","Selleck","941678-49-5","InChI=1S/C17H18N6/c18-7-5-15(12-3-1-2-4-12)23-10-13(9-22-23)16-14-6-8-19-17(14)21-11-20-16/h6,8-12,15H,1-5H2,(H,19,20,21)/t15-/m1/s1","HFNKQEVNSGCOJV-OAHLLOKOSA-N","25126798","C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3",""
"278","Saracatinib (AZD0530)","C27H32ClN5O5","542.03","Src","H Laurent (2006) J. Med. Chem. 49(22) 6465-6488","","","","Selleck","379231-04-6","InChI=1S/C27H32ClN5O5/c1-32-6-8-33(9-7-32)10-13-35-19-14-21-24(23(15-19)38-18-4-11-34-12-5-18)27(30-16-29-21)31-25-20(28)2-3-22-26(25)37-17-36-22/h2-3,14-16,18H,4-13,17H2,1H3,(H,29,30,31)","OUKYUETWWIPKQR-UHFFFAOYSA-N","10302451","CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6","AZD0530"
"99","SB-202190","C20H14FN3O","331.3","p38 MAPK","Davies S.P. (2000) Biochem. J. 351 95","Ajizian S.J. (1999) J. Infect. Dis. 179 939","10068590","","Merck (Calbiochem)","152121-30-7","InChI=1S/C20H14FN3O/c21-16-5-1-13(2-6-16)18-19(14-9-11-22-12-10-14)24-20(23-18)15-3-7-17(25)8-4-15/h1-12,23-24H","NJNKPVPFGLGHPA-UHFFFAOYSA-N","5353940","C1=CC(=O)C=CC1=C2NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F","FHPI, SB 202190, SB202190"
"100","SB-203580","C21H16N3OSF","377.4","p38 MAPK","Powell D.J. (2003) Mol. Cell Biol. 23 7794","Davies S.P. (2000) Biochem. J. 351 95","10998351","","Merck (Calbiochem)","152121-47-6","InChI=1S/C21H16FN3OS/c1-27(26)18-8-4-16(5-9-18)21-24-19(14-2-6-17(22)7-3-14)20(25-21)15-10-12-23-13-11-15/h2-13H,1H3,(H,24,25)","CDMGBJANTYXAIV-UHFFFAOYSA-N","176155","CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F","SB203580, SB 203580, RWJ 64809"
"101","SB-216763","C19H12Cl2N2O2","371.22","GSK3","Coghlan (2000) Chem.Biol. 7 793","Liang (2006) J.Biol.Chem. 282 3904","17148450","","Tocris","280744-09-4","InChI=1S/C19H12Cl2N2O2/c1-23-9-13(11-4-2-3-5-15(11)23)17-16(18(24)22-19(17)25)12-7-6-10(20)8-14(12)21/h2-9H,1H3,(H,22,24,25)","JCSGFHVFHSKIJH-UHFFFAOYSA-N","176158","CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl","SB 216763, SB216763"
"102","SB-415286","C16H10ClN3O5","359.73","GSK3","Coghlan (2000) Chem.Biol. 7 793","Cross (2001) J.Neurochem. 77 94","11279265","","Tocris","264218-23-7","InChI=1S/C16H10ClN3O5/c17-10-7-8(5-6-12(10)21)18-14-13(15(22)19-16(14)23)9-3-1-2-4-11(9)20(24)25/h1-7,21H,(H2,18,19,22,23)","PQCXVIPXISBFPN-UHFFFAOYSA-N","4210951","C1=CC=C(C(=C1)C2=C(C(=O)NC2=O)NC3=CC(=C(C=C3)O)Cl)[N+](=O)[O-]","SB415286, SB 415286, SMR000568415"
"161","SB-431542","C22H16N4O3 · xH2O","384.39","ALK","Inman et al (2002) Mol.Pharmacol. 62 65","","","","Sigma","301836-41-9","InChI=1S/C22H16N4O3/c23-21(27)13-4-6-14(7-5-13)22-25-19(20(26-22)16-3-1-2-10-24-16)15-8-9-17-18(11-15)29-12-28-17/h1-11H,12H2,(H2,23,27)(H,25,26)","FHYUGAJXYORMHI-UHFFFAOYSA-N","4521392","C1OC2=C(O1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5","SB 431542, SB431542"
"188","SB-505124","C20H21N3O2 · xHCl · yH2O","335.40","ALK","Byfield (2004) Mol.Pharmacol. 65 744","","","","Sigma","694433-59-5","InChI=1S/C20H21N3O2/c1-12-6-5-7-14(21-12)18-17(22-19(23-18)20(2,3)4)13-8-9-15-16(10-13)25-11-24-15/h5-10H,11H2,1-4H3,(H,22,23)","WGZOTBUYUFBEPZ-UHFFFAOYSA-N","9858940","WGZOTBUYUFBEPZ-UHFFFAOYSA-N","SB505124, SB 505124"
"265","SB-590885","C27H27N5O2","453.54","B-Raf","King (2006) Cancer Res. 66 11100","","","","Tocris","405554-55-4","InChI=1S/C27H27N5O2/c1-32(2)15-16-34-22-7-3-19(4-8-22)27-29-25(18-11-13-28-14-12-18)26(30-27)21-5-9-23-20(17-21)6-10-24(23)31-33/h3-5,7-9,11-14,17,28H,6,10,15-16H2,1-2H3,(H,29,30)/b26-21+","DPCXEUSDRQOOGZ-YYADALCUSA-N","11465183","CN(C)CCOC1=CC=C(C=C1)C2=NC(=C3C=CC4=C(CCC4=C3)N=O)C(=C5C=CNC=C5)N2",""
"266","SB-747651A","C16H22N8O","342.40","","Naqvi (2012) Biochem. J. 441 (347–357)","","","","Axon","","InChI=1S/C16H22N8O/c1-2-24-14-10(8-20-11-3-5-18-6-4-11)7-19-9-12(14)21-16(24)13-15(17)23-25-22-13/h7,9,11,18,20H,2-6,8H2,1H3,(H2,17,23)","MBCJUIJWPYUEBX-UHFFFAOYSA-N","11393719","CCN1C2=C(C=NC=C2CNC3CCNCC3)N=C1C4=NON=C4N",""
"103","SC514 ( IKK-2 Inhibitor)","C9H8N2OS2","224.3","IKK2","Baxter A. (2004) Bioorg. Med. Chem. Lett. 14 2817","Kishore N. (2003) J. Biol. Chem. 278 32861","12813046","","Merck (Calbiochem)","354812-17-2","InChI=1S/C9H8N2OS2/c10-6-3-7(5-1-2-13-4-5)14-8(6)9(11)12/h1-4H,10H2,(H2,11,12)","BMUACLADCKCNKZ-UHFFFAOYSA-N","2807869","C1=CSC=C1C2=CC(=C(S2)C(=O)N)N","SC-514, SC 514, SureCN4082097, AC1MD9M6"
"344","SGK-Sanofi-14i","C18H15ClN6O3S","430,.87","SGK","Halland, N (2015) ACS Medicinal Chemistry Letters  6 73-78","","","","","","","","","","SHN-2122"
"343","SGK1-Sanofi-14g","C17H12Cl2N6O2S","435.29","SGK","Halland, N (2015) ACS Medicinal Chemistry Letters  6 73-78","","","","","","","","","","SHN-2121"
"349","SGK1-Sanofi-14h","C17H12Cl2N6O2S","435.29","SGK"," Halland, N (2015) ACS Medicinal Chemistry Letters , 6,73-78","","","","","","","","","","SHN-2217"
"345","SGK1-Sanofi-14n","C17H12CIFN6O2S","418.83","SGK","Halland, N (2015) ACS Medicinal Chemistry Letters  6 73-78","","","","","","","","","","SHN-2108"
"352","SGK1-Sanofi-308-R","C23H23FN6O4S","498.53","SGK1","","","","WO2014140065","","","InChI=1S/C23H23FN6O4S/c1-14-2-7-19(24)20(10-14)35(31,32)30-16-5-3-15(4-6-16)21-27-22-18(12-26-29-22)23(28-21)34-13-17-11-25-8-9-33-17/h2-7,10,12,17,25,30H,8-9,11,13H2,1H3,(H,26,27,28,29)/t17-/m1/s1","UAVUYSNDFXWICV-QGZVFWFLSA-N","","Cc1ccc(c(c1)S(=O)(=O)Nc2ccc(cc2)c3nc4c(cn[nH]4)c(n3)OC[C@H]5CNCCO5)F","SHN 2211, SHN-2211, SHN2211"
"353","SGK1-Sanofi-308-S","C23H23FN6O4S","498.53","SGK1","","","","WO2014140065","","","InChI=1S/C23H23FN6O4S/c1-14-2-7-19(24)20(10-14)35(31,32)30-16-5-3-15(4-6-16)21-27-22-18(12-26-29-22)23(28-21)34-13-17-11-25-8-9-33-17/h2-7,10,12,17,25,30H,8-9,11,13H2,1H3,(H,26,27,28,29)/t17-/m0/s1","UAVUYSNDFXWICV-KRWDZBQOSA-N","","Cc1ccc(c(c1)S(=O)(=O)Nc2ccc(cc2)c3nc4c(cn[nH]4)c(n3)OC[C@@H]5CNCCO5)F","SHN 2205 , SHN-2205 , SHN2205 "
"356","SGK1-Sanofi-ex.290-R","C24H25ClN6O5S","545.01","SGK1","","","","WO2014140065","","","InChI=1S/C24H25ClN6O5S/c1-14-21-23(30-29-14)27-22(28-24(21)36-13-18-12-26-9-10-35-18)15-3-5-16(6-4-15)31-37(32,33)20-11-17(34-2)7-8-19(20)25/h3-8,11,18,26,31H,9-10,12-13H2,1-2H3,(H,27,28,29,30)/t18-/m1/s1","JOEDMMFGXYMXAW-GOSISDBHSA-N","","Cc1c2c([nH]n1)nc(nc2OC[C@H]3CNCCO3)c4ccc(cc4)NS(=O)(=O)c5cc(ccc5Cl)OC","SHN2211, SHN 2211, SHN-2211"
"355","SGK1-Sanofi-ex.290-S","C24H25ClN6O5S","545.01","SGK1","","","","WO2014140065","","","InChI=1S/C24H25ClN6O5S/c1-14-21-23(30-29-14)27-22(28-24(21)36-13-18-12-26-9-10-35-18)15-3-5-16(6-4-15)31-37(32,33)20-11-17(34-2)7-8-19(20)25/h3-8,11,18,26,31H,9-10,12-13H2,1-2H3,(H,27,28,29,30)/t18-/m0/s1","JOEDMMFGXYMXAW-SFHVURJKSA-N","","Cc1c2c([nH]n1)nc(nc2OC[C@@H]3CNCCO3)c4ccc(cc4)NS(=O)(=O)c5cc(ccc5Cl)OC","SHN-2205, SHN 2205, SHN2205"
"112","SL-327 (MEK1-2 Inhibitor)","C16H12F3N3S","335.4","MEK1, MEK2","Hetman M. (2002) J. Biol. Chem. 277 49577","Ohno M. (2001) Nat. Neurosci. 4 1238","11713472","","Tocris","305350-87-2","JLOXTZFYJNCPIS-FYWRMAATSA-N","JLOXTZFYJNCPIS-FYWRMAATSA-N","9549284","C1=CC=C(C(=C1)C(=C(N)SC2=CC=C(C=C2)N)C#N)C(F)(F)F","SL 327, SL327, SureCN570317, K00090"
"111","SL0101-1","C25H24O12","516.46","RSK","Smith (2005) Cancer Res. 65 1027","Goden Sayeski (2006) Am. J. Cell. Physiol. 291 1308","","","Tocris","77307-50-7","InChI=1S/C25H24O12/c1-10-21(34-11(2)26)24(35-12(3)27)20(32)25(33-10)37-23-19(31)18-16(30)8-15(29)9-17(18)36-22(23)13-4-6-14(28)7-5-13/h4-10,20-21,24-25,28-30,32H,1-3H3/t10-,20+,21-,24-,25-/m0/s1","SXOZSDJHGMAEGZ-IGKKHSBFSA-N","10459196","CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C","SL 0101-1, SL 01011, SL01011, SL-0101-1, SL 0101 1"
"185","Sodium salicylate","HOC6H4COONa","160.10","p38","Schwenger P. (1998) Mol Cell Biol. Jan 18(1) 78-84","","","","Sigma","54-21-7","InChI=1S/C7H6O3.Na/c8-6-4-2-1-3-5(6)7(9)10;/h1-4,8H,(H,9,10);/q;+1/p-1","ABBQHOQBGMUPJH-UHFFFAOYSA-M","16760658","C1=CC=C(C(=C1)C(=O)[O-])O.[Na+]","Enterosalicyl, Alysine, Salsonin, Enterosalicyl, Glutosalyl, Kerasalicyl"
"113","Sodium valproate","C8H15NaO2","166.19","Histone deacetylase","Phiel (2001) J.Biol.Chem. 276 36734","Kostrouchova  (2007) Folia Biologica 53 37","17448293","","Sigma","1069-66-5","InChI=1S/C8H16O2.Na/c1-3-5-7(6-4-2)8(9)10;/h7H,3-6H2,1-2H3,(H,9,10);/q;+1/p-1","AEQFSUDEHCCHBT-UHFFFAOYSA-M","16760703","CCCC(CCC)C(=O)[O-].[Na+]","Valproate sodium       , Valproic acid sodium salt, Valproic acid sodium, DEPACON, Eurekene, Epilim, Labazene"
"114","SP600125 (JNK Inhibitor II,  SAPK Inhibitor II)","C14H8N2O","220.2","JNK","Shin M. Boyd Y.D. (2002) Biochim. Biophys. Acta 1589 311","Bennett B.L. (2001) Proc. Natl. Acad. Sci. USA 98 13681","11717429","","Merck (Calbiochem)","129-56-6","InChI=1S/C14H8N2O/c17-14-9-5-2-1-4-8(9)13-12-10(14)6-3-7-11(12)15-16-13/h1-7H,(H,15,16)","ACPOUJIDANTYHO-UHFFFAOYSA-N","8515","C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O","SP-600125, SP 600125, Pyrazolanthrone, Pyrazoleanthrone"
"179","Sphingosine Kinase Inhibitor (SKI II)","C15H11ClN2OS","339.2 ","SphK1","French (2003) Cancer Res. 63 5962.","French (2006) J.Pharmacol.Exp.Ther. 318 596","16632640","","Merck (Calbiochem)","1177741-83-1","InChI=1S/C15H11ClN2OS.ClH/c16-11-3-1-10(2-4-11)14-9-20-15(18-14)17-12-5-7-13(19)8-6-12;/h1-9,19H,(H,17,18);1H","ZDRVLAOYDGQLFI-UHFFFAOYSA-N","16760659","C1=CC(=CC=C1C2=CSC(=N2)NC3=CC=C(C=C3)O)Cl.Cl","SK Inhibitor"
"115","SRC Inhibitor 1","C22H19N3O3","373.4","Src","Tian G. (2001) Biochemistry 40 7084","","","","Merck (Calbiochem)","179248-59-0","InChI=1S/C22H19N3O3/c1-26-20-12-18-19(13-21(20)27-2)23-14-24-22(18)25-15-8-10-17(11-9-15)28-16-6-4-3-5-7-16/h3-14H,1-2H3,(H,23,24,25)","DMWVGXGXHPOEPT-UHFFFAOYSA-N","1474853","COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OC4=CC=CC=C4)OC","Src Inhibitor-1, Src-Inhibitor-1, Src-Inhibitor 1, AC1LT1HN"
"116","SRT 1720","C27H24F3N7O3S","583.59","SIRT1","Milne J.C. Lambert P.D. Schenk S. (2007) Nature 450 712-716","","","","Cayman","1001645-58-4","InChI=1S/C25H23N7OS.ClH/c33-24(22-13-27-20-7-3-4-8-21(20)28-22)29-19-6-2-1-5-18(19)23-15-32-17(16-34-25(32)30-23)14-31-11-9-26-10-12-31;/h1-8,13,15-16,26H,9-12,14H2,(H,29,33);1H","DTGRRMPPXCRRIM-UHFFFAOYSA-N","25232708","C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5.Cl","SHN-735, SRT-1720, SRT1720"
"208","Staurosporine","C28H26N4O3","466.54","Broad spectrum","Boix J. (1997) Neuropharmacology 36  811-821","Wiesner D.A. and Dawson G. (1996)  J. Neurochem. 66  1418-1425","8627293","","LC labs","62996-74-1","InChI=1S/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20-,26-,28+/m0/s1","HKSZLNNOFSGOKW-HMWZOHBLSA-N","451705","CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC",""
"117","STO 609","C19H10N2O3 • CH3CO2H","374.4","CaMKK","Levine Y. (2007) J. Biol. Chem. 282 20351","Tokumitsu H. (2003) J. Biol. Chem. 278 10908","12540834","","Merck (Calbiochem)","52029-86-4","InChI=1S/C19H10N2O3/c22-18-13-5-3-4-10-11(19(23)24)8-9-12(16(10)13)17-20-14-6-1-2-7-15(14)21(17)18/h1-9H,(H,23,24)/p-1","MYKOWOGZBMOVBJ-UHFFFAOYSA-M","51371511","C1=CC=C2C(=C1)N=C3N2C(=O)C4=CC=CC5=C(C=CC3=C54)C(=O)[O-]","STO-609, STO609"
"324","STOCK1S-50699","C29H31IN2S2","598.60","WNK","Mori T. (2013) Biochem J. 1 455(3) 339-45","","","","Molport","","InChI=1S/C29H31N2S2.HI/c1-4-30-24-12-6-8-14-26(24)32-28(30)16-10-11-22-17-21(3)18-23(19-22)20-29-31(5-2)25-13-7-9-15-27(25)33-29;/h6-16,19-21H,4-5,17-18H2,1-3H3;1H/q+1;/p-1","JNEYCFRQMCKLHV-UHFFFAOYSA-M","5332561","CCN1C2=CC=CC=C2SC1=CC3=CC(=CC=CC4=[N+](C5=CC=CC=C5S4)CC)CC(C3)C.[I-]","AC1NSDP4, Ambcb5325384, MolPort-002-144-727, MCULE-4255228617"
"323","STOCK2S-26016","C20H19N3O2","333.38976","WNK","Mori T. (2013) Biochem J. 1 455(3) 339-45","","","","InterBioScreen","","InChI=1S/C20H19N3O2/c1-2-24-14-6-8-18-17(11-14)20(21)16-7-5-13(10-19(16)23-18)22-12-15-4-3-9-25-15/h3-11,22H,2,12H2,1H3,(H2,21,23)","PGNWQNJXXLPZEL-UHFFFAOYSA-N","3135086","CCOc1ccc2c(c1)c(N)c1c(n2)cc(cc1)NCc1ccco1","BAS 01862286, AC1MJC1P, CHEMBL602783, STK723999"
"118","SU-5416 (VEGFR2 Kinase Inhibitor III)","C15H14N2O","238.3","VEGF-R","Tille J.C. (2003) Exp. Cell Res. 285 286","Itokawa T. (2002) Mol. Cancer Ther. 1 295","12489845","","Tocris","204005-46-9","InChI=1S/C15H14N2O/c1-9-7-10(2)16-14(9)8-12-11-5-3-4-6-13(11)17-15(12)18/h3-8,16H,1-2H3,(H,17,18)/b12-8-","WUWDLXZGHZSWQZ-WQLSENKSSA-N","5329098","CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C","SU 5416, SU5416, Semaxanib, Semaxinib, Semaxnib, Semoxind"
"119","SU-6656","C19H21N3O3S","371.5","Src","Bowman T. (2001) Proc. Natl. Acad. Sci. USA 98 7319"," Blake R.A. (2000) Mol. Cell. Biol. 20 9018","11074000","","Sigma","330161-87-0","InChI=1S/C19H21N3O3S/c1-22(2)26(24,25)14-7-8-18-15(11-14)16(19(23)21-18)10-13-9-12-5-3-4-6-17(12)20-13/h7-11,20H,3-6H2,1-2H3,(H,21,23)/b16-10-","LOGJQOUIVKBFGH-YBEGLDIGSA-N","5312137","CN(C)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)C2=CC3=CC4=C(N3)CCCC4","sulfonamide, su6656       , su 6656       "
"120","SU-6668","C18H18N2O3","310.35","Aurora","Godl K. (2005) Cancer Res. 65 6919-6926.","","","","Tocris","252916-29-3","InChI=1S/C18H18N2O3/c1-10-12(7-8-17(21)22)11(2)19-16(10)9-14-13-5-3-4-6-15(13)20-18(14)23/h3-6,9,19H,7-8H2,1-2H3,(H,20,23)(H,21,22)/b14-9-","NHFDRBXTEDBWCZ-ZROIWOOFSA-N","5329099","CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O","SHN-542, Orantinib, TSU 68       , SU6668, SU 6668"
"155","Sulfasalazine","C18H14N4O5S","398.39","glutathione-S-transferase","Liptay S. (1999) Br. J. Pharmacol. 128 1361","Volin M.V. (1999) Arthritis Rheum. 42 1927","10513809","","Sigma","599-79-1","InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,20H,(H,19,22)(H,24,25)/b21-13-","OQANPHBRHBJGNZ-BKUYFWCQSA-N","5359476","C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C=CC(=O)C(=C3)C(=O)O","Azulfidine       , Salazopyrin       , Asulfidine       "
"151","Sunitinib (SU-11248)","C22H27FN4O2","398.47","RTK","Sakamoto K. M. (2004) Curr Opin Investig Drugs  5(12) 1329-39","","","","Axon","341031-54-7","InChI=1S/C22H27FN4O2/c1-5-27(6-2)10-9-24-22(29)20-13(3)19(25-14(20)4)12-17-16-11-15(23)7-8-18(16)26-21(17)28/h7-8,11-12,25H,5-6,9-10H2,1-4H3,(H,24,29)(H,26,28)/b17-12-","WINHZLLDWRZWRT-ATVHPVEESA-N","5329102","CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C","GSK-R, sunitinibum, Sutent   "
"139","SYK Inhibitor I","C18H15N3O3S","353.4","SYK","Lai J.Y. (2003) Bioorg. Med. Chem. Lett. 13 3111","","","","Merck (Calbiochem)","622387-85-3","InChI=1S/C18H15N3O3S/c1-21-10-11(13-4-2-3-5-17(13)21)8-15-14-9-12(25(19,23)24)6-7-16(14)20-18(15)22/h2-10H,1H3,(H,20,22)(H2,19,23,24)/b15-8-","MLKHXLFEYOOYEY-NVNXTCNLSA-N","6419747","CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC(=C4)S(=O)(=O)N)NC3=O","Syk Inhibitor"
"140","SYK Inhibitor II","C14H15F3N6O • 2HCl•2H2O","449.3","SYK","Hisamichi H. (2005) Bioorg. Med. Chem. 13 4936","","","","Merck (Calbiochem)","227449-73-2","InChI=1S/C14H15F3N6O.2ClH.2H2O/c15-14(16,17)8-2-1-3-9(6-8)22-12-10(11(19)24)7-21-13(23-12)20-5-4-18;;;;/h1-3,6-7H,4-5,18H2,(H2,19,24)(H2,20,21,22,23);2*1H;2*1H2","LCACSMNPIITJGG-UHFFFAOYSA-N","16760670","C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl","SYK Inhibito"
"141","SYK Inhibitor III","C9H7NO4","193.2 ","SYK","Wang W.Y. (2006) Mol. Pharmacol. 70 1380","","","","Merck (Calbiochem)","1485-00-3","InChI=1S/C9H7NO4/c11-10(12)4-3-7-1-2-8-9(5-7)14-6-13-8/h1-5H,6H2/b4-3+","KFLWBZPSJQPRDD-ONEGZZNKSA-N","672296","C1OC2=C(O1)C=C(C=C2)C=C[N+](=O)[O-]","SYK Inhibitor"
"142","SYK Inhibitor IV (BAY 61-3606)","C20H18N6O3 • HCl • H2O","444.9","SYK","Yamamoto N. (2003) J Pharmacol Exp Ther 306 1174","","","","Merck (Calbiochem)","732983-37-8","InChI=1S/C20H18N6O3.2ClH/c1-28-15-6-5-12(10-16(15)29-2)14-11-17-22-8-9-26(17)20(24-14)25-19-13(18(21)27)4-3-7-23-19;;/h3-11H,1-2H3,(H2,21,27)(H,23,24,25);2*1H","SPMFEULFGGPQLN-UHFFFAOYSA-N","11784504","COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC.Cl.Cl","SYK Inhibitor"
"259","TAE684","C30H40ClN7O3S","614.22","NPM-ALK","Zhang J. (2012) Bioorg. Med. Chem. Lett. 22 1864–1869","Galkin A.V. (2007) Proc. Natl. Acad. Sci. USA  104 (1) 270-275","","","Axon","761439-42-3","InChI=1S/C30H40ClN7O3S/c1-21(2)42(39,40)28-8-6-5-7-26(28)33-29-24(31)20-32-30(35-29)34-25-10-9-23(19-27(25)41-4)37-13-11-22(12-14-37)38-17-15-36(3)16-18-38/h5-10,19-22H,11-18H2,1-4H3,(H2,32,33,34,35)","QQWUGDVOUVUTOY-UHFFFAOYSA-N","16038120","CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC",""
"315","Tenovin-6","C25H34N4O2S","454.6","","","","","","Cayman","1011557-82-6","InChI=1S/C25H34N4O2S/c1-25(2,3)19-11-9-18(10-12-19)23(31)28-24(32)27-21-15-13-20(14-16-21)26-22(30)8-6-7-17-29(4)5/h9-16H,6-8,17H2,1-5H3,(H,26,30)(H2,27,28,31,32)","BVJSXSQRIUSRCO-UHFFFAOYSA-N","24772043","CC(C)(C)C1=CC=C(C(NC(NC2=CC=C(NC(CCCCN(C)C)=O)C=C2)=S)=O)C=C1",""
"169","TG003","C13H15NO2S","249.33","Cdc2-like kinase","Muraki M. (2004) J. Biol. Chem. 279 24246-24254","","","","Sigma","300801-52-9","InChI=1S/C13H15NO2S/c1-4-14-11-8-10(16-3)5-6-12(11)17-13(14)7-9(2)15/h5-8H,4H2,1-3H3/b13-7-","BGVLELSCIHASRV-QPEQYQDCSA-N","1893668","CCN1C2=C(C=CC(=C2)OC)SC1=CC(=O)C","SHN-1170, SHN 1170, SHN1170, Clk Inhibitor, TG003"
